MutationType,ID
1:Del:C:0,73
1:Del:C:1,72
1:Del:C:2,93
1:Del:C:3,167
1:Del:C:4,392
1:Del:C:5,892
1:Del:T:0,42
1:Del:T:1,82
1:Del:T:2,151
1:Del:T:3,399
1:Del:T:4,1150
1:Del:T:5,17208
1:Ins:C:0,30
1:Ins:C:1,9
1:Ins:C:2,14
1:Ins:C:3,33
1:Ins:C:4,89
1:Ins:C:5,338
1:Ins:T:0,52
1:Ins:T:1,58
1:Ins:T:2,332
1:Ins:T:3,213
1:Ins:T:4,222
1:Ins:T:5,6473
2:Del:R:0,22
2:Del:R:1,80
2:Del:R:2,32
2:Del:R:3,106
2:Del:R:4,98
2:Del:R:5,164
2:Ins:R:0,16
2:Ins:R:1,22
2:Ins:R:2,13
2:Ins:R:3,21
2:Ins:R:4,100
2:Ins:R:5,460
3:Del:R:0,2
3:Del:R:1,60
3:Del:R:2,20
3:Del:R:3,6
3:Del:R:4,6
3:Del:R:5,7
3:Ins:R:0,3
3:Ins:R:1,2
3:Ins:R:2,1
3:Ins:R:3,2
3:Ins:R:4,6
3:Ins:R:5,37
4:Del:R:0,3
4:Del:R:1,47
4:Del:R:2,15
4:Del:R:3,4
4:Del:R:4,4
4:Del:R:5,8
4:Ins:R:0,2
4:Ins:R:1,5
4:Ins:R:2,0
4:Ins:R:3,3
4:Ins:R:4,0
4:Ins:R:5,6
5:Del:R:0,23
5:Del:R:1,8
5:Del:R:2,4
5:Del:R:3,3
5:Del:R:4,1
5:Del:R:5,0
5:Ins:R:0,3
5:Ins:R:1,7
5:Ins:R:2,1
5:Ins:R:3,0
5:Ins:R:4,0
5:Ins:R:5,0
2:Del:M:1,69
3:Del:M:1,4
3:Del:M:2,31
4:Del:M:1,11
4:Del:M:2,17
4:Del:M:3,26
5:Del:M:1,11
5:Del:M:2,14
5:Del:M:3,10
5:Del:M:4,5
5:Del:M:5,7
